listing_id,id_x,date,temp_max,temp_min,apparent_temp_max,apparent_temp_min,rain,wind_speed,wind_gust,humidity,neighbourhood_cleansed,property_type,room_type,host_is_superhost,price,sentiment_stars,weather_category,weather_sentence,weather_sentiment_score
1773094,1115092145236864388,2024-03-18,31.6,15.2,33.0,15.3,0.0,19.6,52.2,66.45833333,Ward 115,Entire villa,Entire home/apt,t,12010.0,4.88,,,
731764,1103481435775703702,2024-03-02,25.9,17.5,26.0,14.2,0.0,38.9,106.6,79.29166667,Ward 54,Entire rental unit,Entire home/apt,t,2361.0,4.53,,,
731882,1124546739254840712,2024-03-31,19.4,15.1,19.4,14.9,2.7,22.8,76.0,89.58333333,Ward 115,Entire condo,Entire home/apt,t,1620.0,4.81,,,
1795805,1123756941846707431,2024-03-30,33.8,15.2,34.8,15.1,0.0,17.4,46.8,58.75,Ward 57,Entire rental unit,Entire home/apt,f,704.0,4.83,,,
1808811,1112963192731695359,2024-03-15,24.2,12.2,25.9,11.7,0.0,15.3,45.0,78.41666667,Ward 77,Private room in condo,Private room,f,1180.0,4.42,,,
1834106,1102716553890247622,2024-03-01,23.4,15.8,25.7,16.2,0.0,18.0,51.5,83.0,Ward 115,Entire home,Entire home/apt,t,,4.9,,,
1834106,1114314372740723772,2024-03-17,27.7,15.8,27.0,12.9,0.0,33.6,92.5,61.5,Ward 115,Entire home,Entire home/apt,t,,4.91,,,
1834106,1119392362355939686,2024-03-24,21.5,15.1,20.2,14.5,0.0,20.3,65.9,68.875,Ward 115,Entire home,Entire home/apt,t,,4.65,,,
742345,1105728273048093874,2024-03-05,23.0,15.1,23.4,14.8,0.2,14.5,43.2,68.54166667,Ward 115,Entire rental unit,Entire home/apt,f,579.0,4.57,,,
742345,1107162743605261133,2024-03-07,21.8,13.2,20.0,12.9,0.0,24.1,76.0,77.95833333,Ward 115,Entire rental unit,Entire home/apt,f,579.0,4.73,,,
742345,1117222125954289754,2024-03-21,33.5,17.7,35.1,19.3,0.0,8.1,28.4,58.875,Ward 115,Entire rental unit,Entire home/apt,f,579.0,4.56,,,
768582,1122326157544022228,2024-03-28,22.4,15.7,21.2,13.8,0.0,33.1,91.8,79.33333333,Ward 54,Entire rental unit,Entire home/apt,f,1071.0,4.34,,,
1852938,1104899799521659423,2024-03-04,18.8,15.3,19.8,15.5,18.5,18.5,57.2,89.95833333,Ward 115,Entire rental unit,Entire home/apt,,3832.0,4.8,,,
1852938,1108535923150196566,2024-03-09,24.8,16.8,26.8,16.0,0.0,21.1,57.2,74.875,Ward 115,Entire rental unit,Entire home/apt,,3832.0,3.0,,,
1852938,1110722559089061575,2024-03-12,25.4,17.4,26.0,18.4,0.2,17.3,51.1,77.41666667,Ward 115,Entire rental unit,Entire home/apt,,3832.0,4.02,,,
771176,1104978794270173662,2024-03-04,18.8,15.3,19.8,15.5,18.5,18.5,57.2,89.95833333,Ward 77,Entire rental unit,Entire home/apt,t,870.0,4.39,,,
771176,1113697122378197981,2024-03-16,22.0,16.5,20.1,12.8,0.2,35.0,94.0,70.04166667,Ward 77,Entire rental unit,Entire home/apt,t,870.0,4.61,,,
1863057,1104226945682601985,2024-03-03,27.4,18.4,27.7,15.9,0.0,31.1,92.5,72.91666667,Ward 115,Entire home,Entire home/apt,t,7338.0,4.59,,,
1871897,1113616533030725935,2024-03-16,22.0,16.5,20.1,12.8,0.2,35.0,94.0,70.04166667,Ward 1,Entire guest suite,Entire home/apt,t,675.0,4.8,,,
1871897,1122302280870783542,2024-03-28,22.4,15.7,21.2,13.8,0.0,33.1,91.8,79.33333333,Ward 1,Entire guest suite,Entire home/apt,t,675.0,4.95,,,
1923621,1123075179013440971,2024-03-29,24.3,16.9,23.5,13.6,0.0,30.7,88.9,67.875,Ward 115,Entire rental unit,Entire home/apt,t,798.0,4.64,,,
1930799,1115121474657286808,2024-03-18,31.6,15.2,33.0,15.3,0.0,19.6,52.2,66.45833333,Ward 64,Entire loft,Entire home/apt,t,1500.0,4.79,,,
1930799,1123071206952554945,2024-03-29,24.3,16.9,23.5,13.6,0.0,30.7,88.9,67.875,Ward 64,Entire loft,Entire home/apt,t,1500.0,4.61,Heat,"The flat is very private, well equipped, light and airy, even on the hotter days.",4.61
1904760,1105630438685989900,2024-03-05,23.0,15.1,23.4,14.8,0.2,14.5,43.2,68.54166667,Ward 61,Entire villa,Entire home/apt,t,1511.0,4.13,,,
1904760,1107822576191088248,2024-03-08,23.6,16.7,25.1,17.2,1.7,18.1,55.8,81.125,Ward 61,Entire villa,Entire home/apt,t,1511.0,4.79,,,
1904760,1109344931763369623,2024-03-10,24.8,17.2,24.9,15.4,0.0,27.4,69.5,72.875,Ward 61,Entire villa,Entire home/apt,t,1511.0,3.23,,,
1904760,1112146429594824580,2024-03-14,24.7,16.5,25.5,15.2,0.0,21.7,56.9,68.20833333,Ward 61,Entire villa,Entire home/apt,t,1511.0,4.94,,,
1904760,1114422080018795074,2024-03-17,27.7,15.8,27.0,12.9,0.0,33.6,92.5,61.5,Ward 61,Entire villa,Entire home/apt,t,1511.0,3.74,,,
1904760,1118034209319386155,2024-03-22,23.2,15.4,23.6,16.7,2.1,15.8,47.9,85.375,Ward 61,Entire villa,Entire home/apt,t,1511.0,4.84,,,
1904760,1121636266877370552,2024-03-27,23.8,16.4,22.9,12.9,0.0,31.1,85.3,74.375,Ward 61,Entire villa,Entire home/apt,t,1511.0,4.73,,,
1904760,1124513526029470858,2024-03-31,19.4,15.1,19.4,14.9,2.7,22.8,76.0,89.58333333,Ward 61,Entire villa,Entire home/apt,t,1511.0,4.83,,,
2712487,1104284479482508479,2024-03-03,27.4,18.4,27.7,15.9,0.0,31.1,92.5,72.91666667,Ward 77,Entire rental unit,Entire home/apt,t,695.0,3.85,Cold,"Hi had a good time and Joy is a lovely host, very chill easy understanding.",4.55
2712487,1111442965934098094,2024-03-13,24.0,15.5,23.0,15.7,0.0,19.9,58.0,66.125,Ward 77,Entire rental unit,Entire home/apt,t,695.0,4.61,,,
1945481,1105666852615395281,2024-03-05,23.0,15.1,23.4,14.8,0.2,14.5,43.2,68.54166667,Ward 57,Entire townhouse,Entire home/apt,f,1500.0,4.29,,,
2735215,1112909475447683320,2024-03-15,24.2,12.2,25.9,11.7,0.0,15.3,45.0,78.41666667,Ward 61,Entire home,Entire home/apt,t,2550.0,4.42,,,
2735215,1119398020454330546,2024-03-24,21.5,15.1,20.2,14.5,0.0,20.3,65.9,68.875,Ward 61,Entire home,Entire home/apt,t,2550.0,4.75,,,
2765720,1115101606607341099,2024-03-18,31.6,15.2,33.0,15.3,0.0,19.6,52.2,66.45833333,Ward 74,Entire home,Entire home/apt,f,3104.0,4.72,,,
1945888,1105009031653874377,2024-03-04,18.8,15.3,19.8,15.5,18.5,18.5,57.2,89.95833333,Ward 54,Entire rental unit,Entire home/apt,t,1080.0,3.99,,,
1948161,1104957383982705037,2024-03-04,18.8,15.3,19.8,15.5,18.5,18.5,57.2,89.95833333,Ward 77,Entire rental unit,Entire home/apt,t,950.0,4.71,,,
1948161,1120945347437028308,2024-03-26,24.2,15.6,24.0,14.9,0.1,29.2,81.4,78.41666667,Ward 77,Entire rental unit,Entire home/apt,t,950.0,4.82,,,
1992333,1104235864019591683,2024-03-03,27.4,18.4,27.7,15.9,0.0,31.1,92.5,72.91666667,Ward 23,Entire rental unit,Entire home/apt,,,4.4,,,
1992333,1111515359827625248,2024-03-13,24.0,15.5,23.0,15.7,0.0,19.9,58.0,66.125,Ward 23,Entire rental unit,Entire home/apt,,,4.7,,,
2845124,1104185869710928526,2024-03-03,27.4,18.4,27.7,15.9,0.0,31.1,92.5,72.91666667,Ward 64,Entire home,Entire home/apt,f,1530.0,4.79,,,
2845124,1114372783304146061,2024-03-17,27.7,15.8,27.0,12.9,0.0,33.6,92.5,61.5,Ward 64,Entire home,Entire home/apt,f,1530.0,4.95,,,
2845124,1120124388760734010,2024-03-25,22.3,15.3,22.3,13.9,0.0,21.4,62.3,77.79166667,Ward 64,Entire home,Entire home/apt,f,1530.0,4.76,,,
2845124,1122303212870624272,2024-03-28,22.4,15.7,21.2,13.8,0.0,33.1,91.8,79.33333333,Ward 64,Entire home,Entire home/apt,f,1530.0,4.65,,,
2864973,1121665891291849891,2024-03-27,23.8,16.4,22.9,12.9,0.0,31.1,85.3,74.375,Ward 61,Entire rental unit,Entire home/apt,f,2715.0,4.4,,,
2878153,1115770982745900910,2024-03-19,26.8,17.4,27.6,16.0,0.0,29.3,74.9,77.375,Ward 74,Entire home,Entire home/apt,f,1250.0,4.89,,,
2895692,1103455347842884241,2024-03-02,25.9,17.5,26.0,14.2,0.0,38.9,106.6,79.29166667,Ward 115,Entire condo,Entire home/apt,f,,4.6,,,
2895692,1109997266155317959,2024-03-11,30.9,15.5,34.2,15.9,0.0,25.6,66.2,71.125,Ward 115,Entire condo,Entire home/apt,f,,4.3,,,
2000857,1123848827075313590,2024-03-30,33.8,15.2,34.8,15.1,0.0,17.4,46.8,58.75,Ward 54,Entire rental unit,Entire home/apt,f,,4.89,,,
2015634,1117278918781259813,2024-03-21,33.5,17.7,35.1,19.3,0.0,8.1,28.4,58.875,Ward 54,Entire villa,Entire home/apt,f,9900.0,4.9,,,
2015634,1120899766038601661,2024-03-26,24.2,15.6,24.0,14.9,0.1,29.2,81.4,78.41666667,Ward 54,Entire villa,Entire home/apt,f,9900.0,4.74,,,
