review_id,listing_id,date_key,sentiment_stars
1104978794270173662,771176,2024-03-04,4.39
1119398020454330546,2735215,2024-03-24,4.75
1104957383982705037,1948161,2024-03-04,4.71
1117278918781259813,2015634,2024-03-21,4.9
1107066628233725883,3221642,2024-03-07,4.88
1114386515215229471,3259518,2024-03-17,4.88
1123792055405191745,3267712,2024-03-30,3.79
1109998026912556638,3358490,2024-03-11,4.89
1123792198718757228,2309049,2024-03-30,4.69
1113590706374361414,2347927,2024-03-16,4.43
1113669673187722470,2401492,2024-03-16,4.71
1103448739483216117,2446152,2024-03-02,4.71
1108539328947938610,2446152,2024-03-09,4.66
1114427562265145188,2468991,2024-03-17,4.97
1105706053524248543,4043468,2024-03-05,4.89
1123763578821750882,4080460,2024-03-30,4.91
1121624174451241813,4090938,2024-03-27,4.6
1124543130130842353,4254464,2024-03-31,4.8
1102805374666138427,4390786,2024-03-01,4.56
1104981904099479194,4578856,2024-03-04,4.74
1102812945334924752,4830932,2024-03-01,4.41
1124560258975589050,4629835,2024-03-31,4.88
1110761943294607193,4875598,2024-03-12,4.78
1102721748653728926,5034922,2024-03-01,4.91
1119452349251209028,5034922,2024-03-24,4.8
1120935377335935866,5439441,2024-03-26,4.86
1105002204292309601,893053,2024-03-04,4.91
1110001494413705288,518837,2024-03-11,4.55
1111472508631228091,1684882,2024-03-13,3.89
1114336704990200398,1690757,2024-03-17,4.7
1114314372740723772,1834106,2024-03-17,4.91
1113616533030725935,1871897,2024-03-16,4.8
1115121474657286808,1930799,2024-03-18,4.79
1105630438685989900,1904760,2024-03-05,4.13
1105009031653874377,1945888,2024-03-04,3.99
1102722160311466575,3014209,2024-03-01,4.58
1110065915718869408,3047690,2024-03-11,4.93
1111532435278751257,2080372,2024-03-13,4.29
1104240848898397720,2147358,2024-03-03,4.47
1103457586846895943,2224057,2024-03-02,4.95
1106437020860660195,2224057,2024-03-06,4.77
1103505866183853181,2370212,2024-03-02,4.21
1122362135386426435,2402624,2024-03-28,4.77
1110734093428339273,3973020,2024-03-12,4.92
1117322608964188159,2655966,2024-03-21,4.91
1112204591899476620,4052806,2024-03-14,3.84
1114364746470194951,4066138,2024-03-17,4.68
1119484217415265819,4523176,2024-03-24,4.01
1110722342141124981,4561312,2024-03-12,4.85
1107869871043291253,4390786,2024-03-08,4.76
1104250136505233880,4860778,2024-03-03,4.9
1108515136980080212,4646142,2024-03-09,4.9
1103537346421440432,4890833,2024-03-02,4.13
1113626068057831768,4890833,2024-03-16,4.81
1124482511717146944,5065638,2024-03-31,4.8
1106403675358421892,5310718,2024-03-06,4.82
1123745621640657238,5436436,2024-03-30,4.71
1102743668636634629,810042,2024-03-01,4.31
1112867193491358078,842387,2024-03-15,4.92
1108592412678429673,875916,2024-03-09,4.68
1105714085688668299,286894,2024-03-05,3.93
1110746013097371947,286894,2024-03-12,4.54
1112966424212853285,606963,2024-03-15,4.44
1113601225392181210,668544,2024-03-16,4.85
1103515177067020952,1773094,2024-03-02,4.81
1113697122378197981,771176,2024-03-16,4.61
1123071206952554945,1930799,2024-03-29,4.61
1121636266877370552,1904760,2024-03-27,4.73
1120124388760734010,2845124,2024-03-25,4.76
1107153046577546885,2051863,2024-03-07,4.72
1120149716752556027,2080372,2024-03-25,4.8
1124549623270379035,3318572,2024-03-31,4.67
1103526827061100452,2286781,2024-03-02,3.2
1124563540964461636,3358490,2024-03-31,4.43
1120870588168641758,3855078,2024-03-26,4.57
1111447286110157693,2529479,2024-03-13,4.76
1107067712742839874,3973020,2024-03-07,4.83
1110041789476088117,4043468,2024-03-11,4.86
1103518035976077061,4052806,2024-03-02,4.78
1120171319305717338,4417420,2024-03-25,4.86
1120163879481302496,4462303,2024-03-25,4.68
1118039533014012471,4467695,2024-03-22,4.83
1104184986211205494,4281439,2024-03-03,4.74
1114367548558939186,4281439,2024-03-17,4.9
1117220013955892927,4523176,2024-03-21,4.75
1109277102433232250,4827735,2024-03-10,4.68
1120168569829830331,4940234,2024-03-25,4.8
1114321369021472472,5323318,2024-03-17,4.71
1115082598047201010,897063,2024-03-18,4.85
1104974373687797269,900141,2024-03-04,4.68
1118029377350392084,1058642,2024-03-22,4.86
1105684897377007526,469356,2024-03-05,4.62
1124461404818946080,1739061,2024-03-31,4.53
1122326157544022228,768582,2024-03-28,4.34
1122303212870624272,2845124,2024-03-28,4.65
1123848827075313590,2000857,2024-03-30,4.89
1118742314128624553,3015300,2024-03-23,4.66
1102786758256104239,3024048,2024-03-01,4.88
1115766915464960005,2080336,2024-03-19,4.9
1109996047570827021,2347927,2024-03-11,4.16
1110059447631998028,3607015,2024-03-11,4.8
1123800228636230529,3607015,2024-03-30,4.7
1110722268379905947,2442614,2024-03-12,4.92
1109356967406309914,3799507,2024-03-10,4.76
1108594359029367592,2655966,2024-03-09,4.75
1117277338797368114,4135729,2024-03-21,4.72
1120949654754782186,4462435,2024-03-26,4.72
1124459781618143492,4499002,2024-03-31,3.9
1120120748128217449,4274759,2024-03-25,4.64
1111488110145536083,4507430,2024-03-13,3.31
1120194447419908720,4281439,2024-03-25,4.67
1111531824511690826,4569933,2024-03-13,4.77
1120860768228533127,4591712,2024-03-26,4.25
1104257871123311352,4830932,2024-03-03,4.59
1107806687931757097,4882510,2024-03-08,4.81
1103492590161097302,4703470,2024-03-02,4.91
1113619747461017367,4993364,2024-03-16,4.58
1115779382897920348,5107995,2024-03-19,4.32
1103478069403135142,5323318,2024-03-02,4.95
1124535749817040463,5323318,2024-03-31,4.88
1120946996626263616,5254873,2024-03-26,4.29
1117223614929894595,5255446,2024-03-21,4.83
1120215965613449774,5439441,2024-03-25,4.75
1104207912107311383,19271,2024-03-03,4.86
1109340110845599204,857701,2024-03-10,4.78
1110758479804738067,200211,2024-03-12,4.28
1117974150900395558,1101917,2024-03-22,4.68
1102737201228747604,1558929,2024-03-01,4.75
1104237060761986522,1595157,2024-03-03,4.73
1105647400264980539,653488,2024-03-05,4.79
1114379476902150773,659419,2024-03-17,4.71
1117222125954289754,742345,2024-03-21,4.56
1109344931763369623,1904760,2024-03-10,3.23
1105711089058168372,2053265,2024-03-05,4.59
1123853410747822726,3024048,2024-03-30,4.55
1106382259388485473,2080138,2024-03-06,4.66
1124506123425879261,3057403,2024-03-31,4.34
1112919972660434832,3082554,2024-03-15,4.65
1107177257173977033,3161617,2024-03-07,4.69
1116559859497945107,2179981,2024-03-20,4.37
1123064261191108694,3221642,2024-03-29,4.69
1120174378950745934,3259518,2024-03-25,4.96
1102820256647898487,2350003,2024-03-01,4.47
1120152532558797541,2378969,2024-03-25,4.34
1107154811390604008,3735272,2024-03-07,4.08
1107079049258489685,4014789,2024-03-07,4.91
1120861702544210889,4082106,2024-03-26,4.69
1124528628233770393,4248690,2024-03-31,4.5
1106437307217268690,4523176,2024-03-06,4.05
1106350467673163710,4309526,2024-03-06,4.91
1115834194274731184,4561312,2024-03-19,4.88
1112892403417356289,4820554,2024-03-15,4.91
1104266102104902775,4822336,2024-03-03,4.67
1110036539849961264,4858427,2024-03-11,3.26
