listing_id,neighbourhood_cleansed,property_type,room_type,host_is_superhost,price
3975291,Ward 54,Entire rental unit,Entire home/apt,true,1373.0
4197434,Ward 62,Tiny home,Entire home/apt,true,1105.0
4458181,Ward 61,Entire rental unit,Entire home/apt,true,1439.0
4526096,Ward 54,Private room in home,Private room,true,729.0
4393363,Ward 115,Entire rental unit,Entire home/apt,false,708.0
5032552,Ward 77,Entire loft,Entire home/apt,false,1215.0
5310718,Ward 54,Entire rental unit,Entire home/apt,false,2298.0
5137968,Ward 61,Entire rental unit,Entire home/apt,true,1085.0
5157425,Ward 74,Entire rental unit,Entire home/apt,false,
5439441,Ward 69,Entire rental unit,Entire home/apt,true,1178.0
857701,Ward 61,Entire home,Entire home/apt,false,2886.0
200211,Ward 54,Entire condo,Entire home/apt,true,994.0
1049961,Ward 115,Entire rental unit,Entire home/apt,false,1830.0
1333749,Ward 54,Entire rental unit,Entire home/apt,true,2438.0
516875,Ward 115,Entire rental unit,Entire home/apt,,1980.0
1923621,Ward 115,Entire rental unit,Entire home/apt,true,798.0
2053265,Ward 115,Entire rental unit,Entire home/apt,true,605.0
2080336,Ward 54,Entire rental unit,Entire home/apt,true,723.0
3161617,Ward 61,Entire villa,Entire home/apt,true,4000.0
2179981,Ward 54,Entire rental unit,Entire home/apt,false,1683.0
3259518,Ward 55,Entire condo,Entire home/apt,true,1025.0
3341621,Ward 115,Entire condo,Entire home/apt,true,1885.0
2321768,Ward 62,Entire home,Entire home/apt,true,2364.0
2347927,Ward 115,Private room in townhouse,Private room,false,460.0
2442838,Ward 23,Entire rental unit,Entire home/apt,true,1595.0
2522313,Ward 115,Entire rental unit,Entire home/apt,,820.0
4467695,Ward 115,Entire rental unit,Entire home/apt,true,1350.0
4301603,Ward 23,Entire home,Entire home/apt,true,2486.0
4341842,Ward 58,Entire guest suite,Entire home/apt,true,480.0
4576887,Ward 61,Private room in bed and breakfast,Private room,false,1853.0
4937865,Ward 77,Entire rental unit,Entire home/apt,false,1419.0
4703470,Ward 54,Entire rental unit,Entire home/apt,true,1679.0
5273464,Ward 54,Entire rental unit,Entire home/apt,false,
811611,Ward 77,Entire guest suite,Entire home/apt,true,
133339,Ward 77,Private room in cottage,Private room,false,1342.0
400107,Ward 54,Entire villa,Entire home/apt,true,10858.0
469356,Ward 71,Entire cottage,Entire home/apt,false,4850.0
606963,Ward 64,Private room in guesthouse,Private room,true,1408.0
1724734,Ward 77,Entire loft,Entire home/apt,true,4251.0
1863057,Ward 115,Entire home,Entire home/apt,true,7338.0
2864973,Ward 61,Entire rental unit,Entire home/apt,false,2715.0
3057403,Ward 54,Entire rental unit,Entire home/apt,true,2532.0
3790952,Ward 64,Entire guest suite,Entire home/apt,false,737.0
3855078,Ward 3,Entire guesthouse,Entire home/apt,true,463.0
3973020,Ward 61,Entire villa,Entire home/apt,true,5355.0
3973830,Ward 61,Entire villa,Entire home/apt,true,4099.0
4080460,Ward 54,Private room in rental unit,Private room,true,682.0
4125464,Ward 77,Entire home,Entire home/apt,true,10527.0
4353509,Ward 71,Entire home,Entire home/apt,false,1989.0
4591898,Ward 55,Entire home,Entire home/apt,true,
4890833,Ward 61,Entire rental unit,Entire home/apt,false,1425.0
5065638,Ward 115,Entire townhouse,Entire home/apt,true,4782.0
5316070,Ward 54,Entire home,Entire home/apt,true,18615.0
893053,Ward 115,Entire rental unit,Entire home/apt,false,1674.0
1182416,Ward 115,Entire condo,Entire home/apt,true,1260.0
1194568,Ward 54,Entire rental unit,Entire home/apt,true,1094.0
1595205,Ward 64,Entire rental unit,Entire home/apt,true,1814.0
1690757,Ward 77,Entire guest suite,Entire home/apt,true,594.0
2712487,Ward 77,Entire rental unit,Entire home/apt,true,695.0
2735215,Ward 61,Entire home,Entire home/apt,true,2550.0
2845124,Ward 64,Entire home,Entire home/apt,false,1530.0
3358490,Ward 77,Entire rental unit,Entire home/apt,true,898.0
2402624,Ward 23,Entire rental unit,Entire home/apt,true,1595.0
3677171,Ward 77,Private room in home,Private room,,550.0
2646412,Ward 54,Entire guest suite,Entire home/apt,true,1836.0
4052806,Ward 74,Entire guesthouse,Entire home/apt,false,797.0
4507430,Ward 54,Private room in home,Private room,true,755.0
